image_name,x1,y1,x2,y2,rho,theta_rad,theta_deg,lines,ix1,iy1,ix2,iy2,irho,itheta,itheta_deg
syn_img_5k.pnm,3321,1378,3580,1682,-121.94308016433274,0.8651575525690334,49.56987637607327,100,4999,3347,2146,0,-66.74623216881935,4.006500265233214,229.55555581590806
syn_img_5k.pnm,2445,3590,2770,3821,786.0146426303364,0.6179171286960518,35.404043563125896,100,0,1852,4427,4999,302.71420761488577,0.6179808484913973,35.407694438470635
syn_img_5k.pnm,1759,402,1643,784,-1592.563586922439,1.865612033784582,106.89169574467451,100,363,4999,1881,0,-399.91303536987215,5.007200851742699,286.8914759791677
syn_img_5k.pnm,4288,1185,3905,1301,-1892.321486006543,2.847503026516579,163.1499055701285,100,0,2483,4999,969,223.87202921495128,5.9891062052085005,343.1505086140594
syn_img_5k.pnm,1359,1915,1399,1517,667.9716504065545,4.812555145272615,275.7390984980896,100,1049,4999,1551,0,-119.40356667609652,4.812473540322361,275.7344228788527
syn_img_5k.pnm,725,1742,345,1615,2124.067797983289,3.464132473805183,198.48017042325017,100,0,1499,4999,3170,-52.9417608469756,0.3225904870044973,18.483073416427523
syn_img_5k.pnm,1669,4121,1823,3751,-1615.483182313422,5.1067962229439985,292.59787040804093,100,1303,4999,3384,0,-59.68350227637245,5.106853363062567,292.6011442956758
syn_img_5k.pnm,1071,1991,1444,1846,-947.3816822202054,5.912423401210037,338.75690758371854,100,0,2407,4999,464,385.1760207593293,5.912477446147418,338.7600041305345
syn_img_5k.pnm,1861,4564,1610,4875,2207.303428533219,2.249835796665839,128.90609574640584,100,4999,675,1509,4999,-211.32487563581367,2.2498655163015937,128.90779855610324
syn_img_5k.pnm,4948,4902,4707,4582,-3191.125688780843,4.066890869752841,233.0156825771264,100,4999,4969,1256,0,-365.1676643503961,4.066798178442857,233.01037175626678
syn_img_5k.pnm,330,3544,529,3197,-1785.1767140993247,5.23308548098589,299.8337118916799,100,0,4119,2362,0,-274.01209302293034,5.233050205407293,299.83169074990644
syn_img_5k.pnm,4235,2915,4562,3144,1858.8256725348651,0.6109311767811566,35.00377800252107,100,4999,3450,72,0,415.44875241504747,3.7524684409144102,215.00060442043184
syn_img_5k.pnm,1908,162,2293,267,-986.7779775223387,0.2662520491509254,15.255118703057777,100,4999,1004,1314,0,-108.18941430227937,3.4075921021077002,195.2406457528835
